step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win
100,7.549235,7.430081,827392,33289.61,56573.10
200,7.235880,7.046959,1646592,37495.44,56506.52
300,6.883635,6.895439,2465792,40795.02,54451.04
400,6.897801,6.894211,3284992,42609.54,55661.75
500,6.607178,6.703517,4104192,43785.75,54410.18
600,6.565637,6.633293,4923392,44565.33,55481.61
700,6.115042,6.732780,5742592,45024.40,57529.34
800,6.394450,6.582954,6561792,45468.26,55095.88
900,6.779614,6.562519,7380992,45820.51,54297.21
1000,6.428399,6.562659,8200192,46077.07,40465.78
1100,6.955420,6.459061,9019392,46332.19,66100.90
1200,6.576901,6.430546,9838592,46525.76,55229.50
1300,6.321151,6.427138,10657792,46688.18,53276.51
1400,6.218309,6.378353,11476992,46832.07,52653.02
1500,6.347503,6.334426,12296192,46950.58,53674.69
1600,6.406274,6.327149,13115392,47023.31,55035.61
1700,6.502572,6.304991,13934592,47112.97,50943.13
1800,6.246525,6.256396,14753792,47202.64,53363.65
1900,6.185655,6.281961,15572992,47279.03,54983.23
2000,6.052218,6.230358,16392192,47344.28,54746.35
2100,6.072330,6.186272,17211392,47408.20,54376.52
2200,6.154171,6.161038,18030592,47461.79,52880.22
2300,6.128574,6.143340,18849792,47516.70,52877.76
2400,6.063575,6.118225,19668992,47540.82,55088.16
2500,5.880135,6.110612,20488192,47588.27,56597.35
2600,6.048652,6.078439,21307392,47625.70,53698.89
2700,5.817079,6.049263,22126592,47661.89,57255.72
2800,6.432173,6.034358,22945792,47698.31,64347.37
2900,5.844460,6.000351,23764992,47726.62,53235.23
3000,5.770291,6.017970,24584192,47755.76,50483.97
3100,5.643037,5.958864,25403392,47785.11,53637.33
3200,6.105861,6.076330,26222592,47808.32,53490.01
3300,5.537206,5.955596,27041792,47834.00,54660.64
3400,6.041951,5.912641,27860992,47857.63,52147.69
3500,5.846889,5.906385,28680192,47878.41,55220.17
3600,5.858429,5.886482,29499392,47896.94,54804.81
3700,5.806162,5.849229,30318592,47918.15,54956.34
3800,5.921428,5.892805,31137792,47939.07,52270.62
3900,5.670516,5.800084,31956992,47956.89,53695.87
4000,5.736971,5.798543,32776192,47966.23,55807.63
4100,5.537352,5.766876,33595392,47983.94,55618.04
4200,5.305785,5.799073,34414592,47998.42,53655.93
4300,5.624513,5.759471,35233792,48015.92,54442.00
4400,5.645468,5.685820,36052992,48029.20,53816.98
4500,5.454560,5.678075,36872192,48042.99,55302.92
4600,5.479715,5.635011,37691392,48055.35,50394.02
4700,5.410104,5.613392,38510592,48068.12,51533.17
4800,5.378991,5.609437,39329792,48071.26,54552.11
4900,5.749352,5.582431,40148992,48081.89,52511.09
5000,5.475515,5.563013,40968192,48091.08,52567.73
5100,5.638273,5.527384,41787392,48098.69,55025.84
5200,5.309720,5.508768,42606592,48093.15,53709.66
5300,5.301368,5.502123,43425792,48102.12,53849.75
5400,5.297917,5.479987,44244992,48111.26,53067.03
5500,5.116409,5.487952,45064192,48120.66,54206.46
5600,5.450301,5.446789,45883392,48127.95,54236.37
5700,5.057494,5.433671,46702592,48136.62,53771.16
5800,5.856489,5.429120,47521792,48145.96,54480.04
5900,5.223177,5.399620,48340992,48138.55,54679.84
6000,5.273875,5.376713,49160192,48143.86,54803.24
6100,4.571534,5.374653,49979392,48150.03,60762.68
6200,5.320544,5.357922,50798592,48157.18,54481.00
6300,5.186172,5.330442,51617792,48152.52,54544.17
6400,5.518411,5.315717,52436992,48159.27,56519.35
6500,5.222281,5.302705,53256192,48165.34,56040.67
6600,5.420630,5.299939,54075392,48172.22,54101.02
6700,5.535860,5.265238,54894592,48176.84,51392.78
6800,5.431209,5.267541,55713792,48182.21,43173.32
6900,3.748385,5.266013,56532992,48186.51,63309.16
7000,5.346575,5.223458,57352192,48183.44,52940.40
7100,5.417810,5.271331,58171392,48190.09,53436.54
7200,5.743361,5.210033,58990592,48195.27,50225.18
7300,5.295169,5.197911,59809792,48201.43,52246.93
7400,5.197024,5.172231,60628992,48194.37,55138.98
7500,5.162191,5.170687,61448192,48199.94,54258.99
7600,5.028924,5.147617,62267392,48184.07,54503.41
7700,5.347075,5.143338,63086592,48185.60,56045.15
7800,5.117176,5.119670,63905792,48190.70,53572.08
7900,5.465734,5.128322,64724992,48185.33,55386.79
8000,4.865242,5.077084,65544192,48189.87,51692.36
8100,4.907568,5.066690,66363392,48196.02,53884.12
8200,5.353484,5.035786,67182592,48200.61,54934.53
8300,5.326172,5.076119,68001792,48206.35,56095.48
8400,4.888090,5.049294,68820992,48209.83,54078.11
8500,4.630476,5.007478,69640192,48214.69,54671.22
8600,4.882959,5.011320,70459392,48218.62,53848.48
8700,4.934871,4.973205,71278592,48222.35,53690.22
8800,4.604048,4.968266,72097792,48227.35,54084.93
8900,4.900978,5.009547,72916992,48233.65,53578.39
9000,4.857925,4.945398,73736192,48238.91,56998.66
9100,4.947810,4.906141,74555392,48243.34,52549.33
9200,4.705207,4.903647,75374592,48243.46,54374.50
9300,4.672638,4.877708,76193792,48248.32,54117.70
9400,4.692300,4.883002,77012992,48251.56,53770.28
9500,4.797899,4.862285,77832192,48255.51,48570.62
9600,4.825459,4.883277,78651392,48260.68,53456.85
9700,4.976140,4.847602,79470592,48264.24,53429.16
9800,4.781652,4.826745,80289792,48266.90,52981.54
9900,4.787126,4.824485,81108992,48272.01,54552.94
10000,N/A,4.839494,81920000,48026.26,0.00
