step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win,lr
100,8.043562,7.959952,827392,14474.01,54276.85,6.06000000e-05
200,7.299741,7.106042,1646592,20066.52,55684.78,1.20600000e-04
300,6.786595,6.810035,2465792,24951.96,52809.14,1.80600000e-04
400,6.688075,6.693597,3284992,28318.25,61008.54,2.40600000e-04
500,6.363670,6.446430,4104192,30886.55,53547.23,3.00000000e-04
600,6.222219,6.296609,4923392,32797.33,53240.56,2.99926190e-04
700,5.690678,6.369918,5742592,34367.46,56141.11,2.99704840e-04
800,5.956511,6.141101,6561792,35643.29,53921.72,2.99336192e-04
900,6.520297,6.326949,7380992,36663.65,52517.04,2.98820649e-04
1000,5.857797,6.031974,8200192,37564.43,40196.48,2.98158776e-04
1100,6.404708,5.931509,9019392,38345.09,61834.97,2.97351295e-04
1200,6.004712,5.855575,9838592,39010.00,53203.30,2.96399091e-04
1300,5.708483,5.817072,10657792,39583.34,51955.24,2.95303203e-04
1400,5.593708,5.738572,11476992,40086.43,51345.96,2.94064831e-04
1500,5.728446,5.673507,12296192,40529.02,51621.00,2.92685328e-04
1600,5.795611,5.647039,13115392,40929.35,54193.85,2.91166203e-04
1700,5.873675,5.642083,13934592,41285.45,50081.13,2.89509117e-04
1800,5.589911,5.569368,14753792,41614.11,51721.93,2.87715882e-04
1900,5.488838,5.553063,15572992,41908.35,53486.45,2.85788460e-04
2000,5.303512,5.506639,16392192,42175.88,53778.38,2.83728956e-04
2100,5.315713,5.448489,17211392,42422.29,52175.40,2.81539625e-04
2200,5.448515,5.422267,18030592,42644.61,53175.25,2.79222859e-04
2300,5.366179,5.408524,18849792,42852.88,53185.19,2.76781192e-04
2400,5.316207,5.366444,19668992,43042.79,53841.31,2.74217294e-04
2500,5.252767,5.353599,20488192,43220.95,57416.85,2.71533969e-04
2600,5.277921,5.282041,21307392,43381.44,52289.29,2.68734150e-04
2700,5.061376,5.247884,22126592,43536.77,54527.14,2.65820899e-04
2800,5.906263,5.221610,22945792,43682.03,62459.81,2.62797403e-04
2900,4.991752,5.166397,23764992,43808.58,52958.83,2.59666966e-04
3000,4.956616,5.166954,24584192,43934.16,50498.11,2.56433012e-04
3100,4.879860,5.092857,25403392,44051.38,55305.47,2.53099078e-04
3200,5.534793,5.531283,26222592,44164.87,53788.71,2.49668808e-04
3300,4.782924,5.194158,27041792,44265.66,52838.25,2.46145955e-04
3400,5.127779,5.078747,27860992,44366.30,52891.19,2.42534369e-04
3500,5.108287,5.078411,28680192,44461.55,55915.40,2.38838001e-04
3600,4.828751,5.001092,29499392,44530.69,55264.72,2.35060892e-04
3700,5.090583,4.977724,30318592,44620.00,55775.41,2.31207173e-04
3800,5.068458,4.981533,31137792,44703.30,50740.34,2.27281057e-04
3900,4.827109,4.922618,31956992,44770.74,53420.04,2.23286838e-04
4000,4.875103,4.913086,32776192,44847.21,53064.86,2.19228882e-04
4100,4.792977,4.875734,33595392,44918.48,53593.74,2.15111629e-04
4200,4.480124,4.862713,34414592,44984.57,54278.96,2.10939579e-04
4300,4.867822,4.881283,35233792,45050.40,54757.73,2.06717294e-04
4400,4.712444,4.802730,36052992,45112.84,53237.64,2.02449393e-04
4500,4.616787,4.794879,36872192,45172.22,53612.96,1.98140541e-04
4600,4.534185,4.766688,37691392,45230.07,51113.20,1.93795450e-04
4700,4.678195,4.754463,38510592,45284.74,52561.41,1.89418872e-04
4800,4.669068,4.738549,39329792,45335.79,53061.24,1.85015592e-04
4900,4.896228,4.723217,40148992,45386.29,51110.39,1.80590426e-04
5000,4.780609,4.705516,40968192,45435.69,54074.79,1.76148212e-04
5100,4.781316,4.690060,41787392,45482.11,52458.21,1.71693807e-04
5200,4.557076,4.671017,42606592,45528.96,53354.48,1.67232083e-04
5300,4.570709,4.668521,43425792,45573.48,53757.62,1.62767917e-04
5400,4.547034,4.650245,44244992,45615.32,52967.55,1.58306193e-04
5500,4.398132,4.647209,45064192,45657.52,53462.38,1.53851788e-04
5600,4.674572,4.627046,45883392,45698.96,53488.81,1.49409574e-04
5700,4.325903,4.615331,46702592,45732.36,52264.05,1.44984408e-04
5800,5.272121,4.613391,47521792,45772.80,56440.24,1.40581128e-04
5900,4.537405,4.591471,48340992,45809.09,54080.52,1.36204550e-04
6000,4.272927,4.573016,49160192,45838.03,52027.75,1.31859459e-04
6100,3.993570,4.570667,49979392,45873.55,59165.61,1.27550607e-04
6200,4.600237,4.560965,50798592,45906.98,55469.63,1.23282706e-04
6300,4.529717,4.550846,51617792,45935.75,53349.42,1.19060421e-04
6400,4.743946,4.535052,52436992,45967.69,53667.15,1.14888371e-04
6500,4.581992,4.524741,53256192,45996.48,54792.08,1.10771118e-04
6600,4.696421,4.520824,54075392,46024.10,53917.84,1.06713162e-04
6700,4.737223,4.505332,54894592,46052.12,50265.09,1.02718943e-04
6800,4.531971,4.499842,55713792,46076.13,43135.10,9.87928270e-05
6900,3.343804,4.486976,56532992,46103.40,61871.69,9.49391075e-05
7000,4.649686,4.478862,57352192,46132.61,53607.87,9.11619987e-05
7100,4.796081,4.485633,58171392,46155.90,52160.51,8.74656305e-05
7200,4.979974,4.468106,58990592,46178.64,51848.94,8.38540451e-05
7300,4.681646,4.458835,59809792,46203.84,48396.94,8.03311916e-05
7400,4.583461,4.450417,60628992,46223.18,53790.85,7.69009222e-05
7500,4.542278,4.442204,61448192,46246.62,54114.94,7.35669878e-05
7600,4.396970,4.437240,62267392,46269.22,53552.60,7.03330341e-05
7700,4.654659,4.430314,63086592,46290.72,55077.51,6.72025974e-05
7800,4.557283,4.422183,63905792,46311.27,54238.03,6.41791006e-05
7900,4.816895,4.426818,64724992,46333.20,52939.71,6.12658500e-05
8000,4.212600,4.408210,65544192,46349.70,52745.63,5.84660312e-05
8100,4.358720,4.402254,66363392,46369.34,50176.89,5.57827058e-05
8200,4.749695,4.395278,67182592,46389.05,54053.62,5.32188078e-05
8300,4.599030,4.395753,68001792,46406.85,54742.31,5.07771409e-05
8400,4.348914,4.393150,68820992,46426.25,54060.54,4.84603751e-05
8500,4.100595,4.381009,69640192,46444.37,53571.33,4.62710436e-05
8600,4.318873,4.375896,70459392,46459.74,53749.02,4.42115405e-05
8700,4.315907,4.371456,71278592,46476.62,52241.19,4.22841178e-05
8800,4.039936,4.366702,72097792,46494.53,53935.93,4.04908831e-05
8900,4.293139,4.365989,72916992,46510.12,53959.01,3.88337973e-05
9000,4.334920,4.358774,73736192,46527.37,57318.21,3.73146724e-05
9100,4.441154,4.352934,74555392,46543.35,53184.88,3.59351695e-05
9200,4.152585,4.351573,75374592,46555.02,53638.46,3.46967971e-05
9300,4.178312,4.348032,76193792,46572.02,53497.94,3.36009094e-05
9400,4.102149,4.346163,77012992,46586.81,54339.99,3.26487046e-05
9500,4.261847,4.339722,77832192,46597.51,48859.85,3.18412240e-05
9600,4.316730,4.343236,78651392,46612.61,51346.23,3.11793506e-05
9700,4.507314,4.335090,79470592,46627.34,53291.73,3.06638082e-05
