step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win
100,6.815386,7.674160,206848,10827.64,13472.03
200,7.290718,7.398185,411648,11014.87,13127.88
300,7.441938,7.195743,616448,11078.12,12848.30
400,6.637210,7.048331,821248,11097.58,12206.66
500,7.239574,6.980923,1026048,11102.76,12891.12
600,6.419492,6.922572,1230848,11103.64,12844.94
700,6.719736,6.875839,1435648,11103.59,12898.72
800,7.178426,6.823682,1640448,11099.72,13611.91
900,6.580328,6.792710,1845248,11095.66,13368.99
1000,7.420319,6.748897,2050048,11096.00,12126.22
1100,6.056409,6.700606,2254848,11094.84,13459.11
1200,6.871472,6.711601,2459648,11093.64,12858.28
1300,6.926317,6.665730,2664448,11091.86,13137.54
1400,6.570282,6.649820,2869248,11091.61,13072.37
1500,6.446085,6.892362,3074048,11083.96,13960.44
1600,5.878373,6.642329,3278848,11088.89,12460.14
1700,6.781186,6.564545,3483648,11087.12,12619.75
1800,7.387784,6.542483,3688448,11085.10,12532.25
1900,6.422007,6.543234,3893248,11084.48,12124.28
2000,6.330674,6.502819,4098048,11083.39,13033.85
2100,6.044504,6.486502,4302848,11082.44,12434.04
2200,6.438756,6.451120,4507648,11081.75,12701.67
2300,5.847761,6.412779,4712448,11080.95,12350.57
2400,6.580811,6.401528,4917248,11080.37,13256.48
2500,5.665209,6.372358,5122048,11079.36,12808.19
2600,5.878795,6.363337,5326848,11078.99,12411.15
2700,6.559410,6.338683,5531648,11078.22,12583.53
2800,5.235406,6.715023,5736448,11077.80,13745.66
2900,4.710541,6.711446,5941248,11076.82,13534.24
3000,6.138321,6.306711,6146048,11076.70,12611.49
3100,7.390518,6.279071,6350848,11075.78,12875.57
3200,6.250542,6.279653,6555648,11074.99,12914.29
3300,5.774018,6.263364,6760448,11071.35,13644.83
3400,6.529956,6.233196,6965248,11070.13,11501.62
3500,6.333826,6.208356,7170048,11070.11,12897.58
3600,6.660414,6.197932,7374848,11069.75,13106.07
3700,6.517954,6.183404,7579648,11069.09,13779.82
3800,6.406313,6.191998,7784448,11068.63,12733.83
3900,5.879425,6.158223,7989248,11067.90,13016.96
4000,6.033589,6.176598,8194048,11066.15,8785.68
4100,6.178931,6.133824,8398848,11066.27,12127.00
4200,5.620018,6.117198,8603648,11065.67,12454.09
4300,6.100698,6.090390,8808448,11065.36,12726.51
4400,6.247798,6.082200,9013248,11064.58,13323.68
4500,5.624039,6.106004,9218048,11064.32,11754.74
4600,6.162142,6.075509,9422848,11064.11,12224.09
4700,5.620302,6.116276,9627648,11063.60,12915.12
4800,6.472927,6.038773,9832448,11063.08,12896.77
4900,6.412540,6.047774,10037248,11062.42,12912.58
5000,6.427249,6.020106,10242048,11062.24,12687.26
5100,5.989056,6.035586,10446848,11061.87,13014.57
5200,5.703315,5.992410,10651648,11061.55,12462.35
5300,5.339617,5.970620,10856448,11061.16,13127.08
5400,5.788577,5.987037,11061248,11060.96,11678.08
5500,6.529165,5.975966,11266048,11060.68,12660.48
5600,6.188570,5.977483,11470848,11060.53,12498.52
5700,5.650037,5.978193,11675648,11060.11,12589.39
5800,6.211145,5.933415,11880448,11059.91,12632.81
5900,5.941928,5.945886,12085248,11059.68,11726.35
6000,6.253491,5.900175,12290048,11059.38,12720.41
6100,6.385616,5.899508,12494848,11059.33,13167.68
6200,5.985240,5.963611,12699648,11059.46,12757.32
6300,5.163939,5.883492,12904448,11059.36,12566.60
6400,5.933726,5.889975,13109248,11059.32,12976.32
6500,6.075176,5.924986,13314048,11059.11,13154.08
6600,6.051562,5.871650,13518848,11058.88,12309.43
6700,5.449063,5.873911,13723648,11058.80,12902.02
6800,6.302676,5.853118,13928448,11058.54,13088.53
6900,5.120916,5.886221,14133248,11058.40,12833.63
7000,5.127996,5.829179,14338048,11058.25,12704.10
7100,5.824841,5.854106,14542848,11058.14,12786.45
7200,5.786656,5.818496,14747648,11058.01,12361.48
7300,5.595367,5.809380,14952448,11057.91,13123.20
7400,5.260328,5.801757,15157248,11057.61,12791.20
7500,5.828446,5.807193,15362048,11057.72,13076.57
7600,6.105139,5.806862,15566848,11057.49,12954.58
7700,5.714540,5.789970,15771648,11057.29,12063.13
7800,5.895987,5.799670,15976448,11057.25,13295.77
7900,6.611010,5.760998,16181248,11056.94,12462.01
8000,5.654611,5.798720,16386048,11056.87,12490.93
8100,6.078574,5.785335,16590848,11056.81,12268.01
8200,5.539925,5.805736,16795648,11056.70,12467.38
8300,5.688309,5.777358,17000448,11056.65,12458.13
8400,5.897912,5.741037,17205248,11056.62,12952.98
8500,5.238668,5.717979,17410048,11056.59,13783.01
8600,5.783636,5.720073,17614848,11056.45,12529.02
8700,5.832287,5.730533,17819648,11056.20,12976.84
8800,5.838837,5.732074,18024448,11056.11,13068.87
8900,5.808791,5.716498,18229248,11055.80,12387.80
9000,5.866802,5.728664,18434048,11055.74,12956.40
9100,5.885158,5.717689,18638848,11055.58,13123.03
9200,5.489302,5.713681,18843648,11055.31,13351.55
9300,5.645579,5.692992,19048448,11055.08,13550.78
9400,6.765241,5.720362,19253248,11054.92,13804.99
9500,5.261734,5.695645,19458048,11054.68,12446.22
9600,5.548468,5.704589,19662848,11054.51,12972.23
9700,5.733029,5.761267,19867648,11054.31,11832.16
9800,5.277489,5.680409,20072448,11054.20,14066.42
9900,5.823636,5.662562,20277248,11054.06,12746.76
10000,N/A,5.704512,20480000,11037.94,0.00
