step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win
100,6.948638,7.794681,206848,13534.65,41589.63
200,7.323390,7.449468,411648,17727.80,39686.55
300,7.516571,7.277217,616448,21388.28,38759.25
400,6.675495,7.100834,821248,23834.67,39790.90
500,7.248321,7.017184,1026048,25583.72,37072.45
600,6.450058,6.945137,1230848,26906.98,39446.23
700,6.763178,6.900683,1435648,27950.17,41854.23
800,7.216191,6.835336,1640448,28771.18,43414.96
900,6.570591,6.811534,1845248,29436.55,43506.19
1000,7.414335,6.761455,2050048,30018.12,40083.90
1100,6.089574,6.722162,2254848,30495.09,40604.53
1200,6.887348,6.734381,2459648,30903.34,37970.70
1300,6.946231,6.689058,2664448,31245.92,43404.48
1400,6.604552,6.677509,2869248,31451.41,39810.07
1500,6.454241,6.928512,3074048,31666.36,42956.40
1600,5.904699,6.659107,3278848,31946.73,40351.21
1700,6.791312,6.597306,3483648,32158.70,38920.94
1800,7.420395,6.576719,3688448,32348.16,40068.63
1900,6.386548,6.572355,3893248,32527.15,40168.77
2000,6.371692,6.535762,4098048,32683.15,39135.23
2100,6.118560,6.529034,4302848,32827.26,40482.38
2200,6.480287,6.493523,4507648,32960.35,39450.86
2300,5.903708,6.460920,4712448,33079.03,39597.62
2400,6.604537,6.448516,4917248,33189.50,35673.58
2500,5.682333,6.418262,5122048,33245.27,45137.35
2600,5.952186,6.419891,5326848,33341.80,42330.86
2700,6.577413,6.391929,5531648,33430.19,39825.88
2800,5.276210,6.791655,5736448,33515.25,44367.48
2900,4.769549,6.843461,5941248,33589.38,43968.90
3000,6.179997,6.367638,6146048,33664.09,39740.22
3100,7.419839,6.332138,6350848,33729.57,41816.56
3200,6.284460,6.328587,6555648,33794.31,40390.89
3300,5.802686,6.312950,6760448,33852.90,41839.73
3400,6.595814,6.277258,6965248,33907.18,32320.82
3500,6.370582,6.248365,7170048,33963.88,39844.51
3600,6.689342,6.239303,7374848,33989.43,37577.53
3700,6.554701,6.224109,7579648,34036.94,42082.70
3800,6.433506,6.225645,7784448,34083.35,37964.80
3900,5.909512,6.190534,7989248,34123.41,36905.55
4000,6.059603,6.220203,8194048,34156.52,17202.48
4100,6.190593,6.164204,8398848,34202.70,37367.32
4200,5.618400,6.153134,8603648,34234.46,34795.66
4300,6.110663,6.124006,8808448,34266.48,39679.05
4400,6.335305,6.123613,9013248,34294.09,46374.23
4500,5.681426,6.146737,9218048,34324.73,36767.10
4600,6.180845,6.099411,9422848,34354.80,40778.71
4700,5.655703,6.136977,9627648,34384.25,38102.44
4800,6.496854,6.066845,9832448,34410.37,39582.20
4900,6.439536,6.063953,10037248,34435.98,42926.45
5000,6.433295,6.040838,10242048,34462.72,39830.14
5100,6.000934,6.056615,10446848,34488.36,38953.59
5200,5.725110,6.012322,10651648,34511.83,38150.93
5300,5.365735,5.992935,10856448,34535.76,39725.20
5400,5.795199,6.016018,11061248,34560.34,34857.04
5500,6.492833,5.995513,11266048,34582.48,43459.29
5600,6.226136,5.994682,11470848,34604.75,38289.88
5700,5.663567,5.991495,11675648,34592.83,39655.14
5800,6.283767,5.962756,11880448,34614.15,40175.90
5900,5.938667,5.959364,12085248,34633.02,34524.24
6000,6.252487,5.924396,12290048,34650.67,37175.53
6100,6.387964,5.923907,12494848,34668.38,39500.86
6200,5.977923,5.992775,12699648,34687.17,40870.56
6300,5.184847,5.908781,12904448,34701.93,39538.80
6400,5.956501,5.908560,13109248,34717.79,40689.90
6500,6.066786,5.948442,13314048,34733.29,39675.10
6600,6.062217,5.890722,13518848,34746.55,38477.19
6700,5.465405,5.893041,13723648,34761.81,40588.91
6800,6.325631,5.875584,13928448,34775.42,41469.20
6900,5.145848,5.904873,14133248,34789.41,39598.02
7000,5.161633,5.845742,14338048,34801.45,44131.87
7100,5.850209,5.876078,14542848,34811.19,38606.80
7200,5.810735,5.828572,14747648,34821.34,39090.55
7300,5.605107,5.829016,14952448,34830.64,38798.58
7400,5.290090,5.829937,15157248,34841.28,41909.46
7500,5.876564,5.829170,15362048,34853.02,38759.78
7600,6.210962,5.833323,15566848,34864.12,38725.09
7700,5.749294,5.807176,15771648,34855.83,37911.45
7800,5.881717,5.820334,15976448,34868.43,45485.35
7900,6.624445,5.785275,16181248,34878.43,39058.15
8000,5.664282,5.821055,16386048,34888.84,40793.11
8100,6.124688,5.802424,16590848,34899.15,35358.27
8200,5.564645,5.819290,16795648,34908.51,39911.49
8300,5.699403,5.797776,17000448,34916.61,38085.62
8400,5.911289,5.763251,17205248,34925.42,39363.27
8500,5.235877,5.733715,17410048,34934.47,44894.74
8600,5.827994,5.736445,17614848,34941.66,35416.32
8700,5.829513,5.750643,17819648,34948.87,40488.93
8800,5.876070,5.747369,18024448,34958.17,39154.98
8900,5.820282,5.731934,18229248,34965.99,39513.45
9000,5.910553,5.748188,18434048,34975.31,34836.12
9100,5.948714,5.728988,18638848,34983.38,37489.88
9200,5.497588,5.723994,18843648,34990.87,39769.43
9300,5.653117,5.719149,19048448,34996.49,39993.25
9400,6.761370,5.733917,19253248,35004.83,42356.90
9500,5.298070,5.708075,19458048,35011.47,37339.08
9600,5.541488,5.705237,19662848,35018.38,37785.63
9700,5.701186,5.757327,19867648,35013.19,35594.69
9800,5.272706,5.695962,20072448,35022.09,42698.48
9900,5.847606,5.678974,20277248,35028.28,38959.48
10000,N/A,5.710522,20480000,35001.13,0.00
