step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win
100,6.896121,7.730781,206848,10942.23,13369.04
200,7.280211,7.414956,411648,11081.37,13312.67
300,7.472131,7.218984,616448,11125.96,12757.12
400,6.656864,7.066914,821248,11138.08,13323.21
500,7.243226,6.995263,1026048,11132.80,12519.74
600,6.424571,6.932492,1230848,11120.72,12419.07
700,6.760711,6.887948,1435648,11102.22,13014.51
800,7.197785,6.832204,1640448,11093.33,13362.82
900,6.575327,6.795685,1845248,11057.18,13200.21
1000,7.407270,6.746513,2050048,11039.91,12769.37
1100,6.066373,6.704430,2254848,11019.73,12712.28
1200,6.873134,6.727552,2459648,11005.95,12767.13
1300,6.929068,6.673007,2664448,10993.85,13159.14
1400,6.571975,6.662314,2869248,10984.42,12621.81
1500,6.448919,6.923928,3074048,10968.76,13257.27
1600,5.898630,6.648740,3278848,10967.91,11232.59
1700,6.763474,6.581930,3483648,10958.41,12946.91
1800,7.409707,6.561071,3688448,10950.84,12968.32
1900,6.405505,6.560577,3893248,10946.17,12249.59
2000,6.344591,6.506882,4098048,10938.11,12751.17
2100,6.096712,6.498371,4302848,10930.88,12292.61
2200,6.431874,6.464848,4507648,10925.56,13017.37
2300,5.878828,6.439263,4712448,10921.35,12300.74
2400,6.588622,6.424637,4917248,10918.54,12573.38
2500,5.703088,6.397457,5122048,10916.86,15433.72
2600,5.935074,6.394131,5326848,10914.40,12932.12
2700,6.558370,6.367906,5531648,10910.12,12032.48
2800,5.243729,6.723589,5736448,10908.08,13562.99
2900,4.762211,6.802113,5941248,10905.07,13223.06
3000,6.155808,6.336881,6146048,10901.71,13135.41
3100,7.422667,6.311373,6350848,10898.97,12755.92
3200,6.257708,6.304441,6555648,10897.82,12744.16
3300,5.796574,6.298347,6760448,10892.61,12043.41
3400,6.559899,6.256401,6965248,10888.77,11098.40
3500,6.372086,6.230925,7170048,10893.15,12295.00
3600,6.673728,6.222567,7374848,10897.13,12436.57
3700,6.542997,6.211751,7579648,10900.46,12923.32
3800,6.414891,6.207281,7784448,10903.64,12558.95
3900,5.920583,6.172716,7989248,10906.58,12611.99
4000,6.048091,6.188370,8194048,10908.48,8324.00
4100,6.171414,6.147503,8398848,10911.76,12611.01
4200,5.614363,6.132334,8603648,10913.32,12140.85
4300,6.097196,6.103189,8808448,10915.31,12719.35
4400,6.295491,6.100521,9013248,10917.80,12768.48
4500,5.630185,6.117140,9218048,10920.29,12510.72
4600,6.172565,6.081845,9422848,10922.88,12476.45
4700,5.635753,6.131124,9627648,10925.02,12330.76
4800,6.486564,6.049047,9832448,10927.14,12990.71
4900,6.435009,6.055275,10037248,10928.72,12512.95
5000,6.443892,6.038882,10242048,10930.51,12591.19
5100,5.997315,6.040435,10446848,10932.71,13223.73
5200,5.717999,6.006658,10651648,10934.73,12972.64
5300,5.357841,5.979245,10856448,10936.22,13129.14
5400,5.809508,5.999966,11061248,10937.62,11852.86
5500,6.467577,5.976243,11266048,10939.22,13200.21
5600,6.199787,5.979391,11470848,10940.91,12364.54
5700,5.663645,5.983308,11675648,10942.55,13005.17
5800,6.247411,5.941124,11880448,10942.03,12242.29
5900,5.935653,5.951216,12085248,10943.37,12195.50
6000,6.261013,5.905718,12290048,10944.03,13084.09
6100,6.383305,5.902190,12494848,10945.20,13332.15
6200,5.962872,5.968400,12699648,10946.46,12524.92
6300,5.185166,5.892417,12904448,10947.45,11927.97
6400,5.933737,5.891190,13109248,10948.79,12899.57
6500,6.048613,5.926776,13314048,10949.92,12704.49
6600,6.052900,5.878061,13518848,10950.74,12257.60
6700,5.442034,5.877105,13723648,10952.09,13114.85
6800,6.320237,5.865518,13928448,10952.97,13001.83
6900,5.121386,5.890734,14133248,10953.68,12698.92
7000,5.150846,5.842624,14338048,10954.59,13755.54
7100,5.835871,5.873069,14542848,10955.61,13084.34
7200,5.805235,5.829034,14747648,10956.47,11945.60
7300,5.596569,5.823883,14952448,10957.32,12588.46
7400,5.277972,5.815351,15157248,10956.35,13459.35
7500,5.826109,5.815774,15362048,10957.40,12689.29
7600,6.140941,5.819849,15566848,10958.30,12775.02
7700,5.729253,5.795283,15771648,10958.86,12393.40
7800,5.873152,5.807775,15976448,10959.88,13291.08
7900,6.606148,5.773413,16181248,10960.67,12387.82
8000,5.660601,5.810199,16386048,10961.70,12631.97
8100,6.122685,5.795550,16590848,10962.59,12355.21
8200,5.557353,5.810236,16795648,10963.25,13251.23
8300,5.714737,5.793899,17000448,10963.86,12144.72
8400,5.917962,5.750549,17205248,10964.53,13121.80
8500,5.247797,5.729283,17410048,10965.01,13465.84
8600,5.818358,5.735851,17614848,10965.52,12491.02
8700,5.774222,5.740984,17819648,10965.93,12462.95
8800,5.858671,5.740630,18024448,10966.60,12485.25
8900,5.835935,5.728221,18229248,10966.90,12341.09
9000,5.926085,5.745861,18434048,10965.93,12714.97
9100,5.905387,5.727128,18638848,10966.31,13083.99
9200,5.449883,5.717822,18843648,10965.86,12756.07
9300,5.617547,5.709311,19048448,10965.99,13665.37
9400,6.711902,5.726498,19253248,10966.24,13958.16
9500,5.287156,5.703406,19458048,10966.39,12856.32
9600,5.551030,5.705308,19662848,10967.07,12500.32
9700,5.698999,5.755610,19867648,10967.53,12551.55
9800,5.273660,5.687692,20072448,10967.92,13489.03
9900,5.864271,5.662132,20277248,10968.52,13489.46
10000,N/A,5.701381,20480000,10953.08,0.00
