step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win,lr
100,8.053095,7.961193,827392,33798.11,56411.27,6.06000000e-05
200,7.389099,7.195251,1646592,38088.37,57776.77,1.20600000e-04
300,6.928780,6.939788,2465792,41196.19,55484.89,1.80600000e-04
400,6.881671,6.887738,3284992,42960.51,56803.94,2.40600000e-04
500,6.591666,6.687166,4104192,44109.11,54861.23,3.00000000e-04
600,6.499063,6.596510,4923392,44883.58,54807.70,2.99926190e-04
700,6.048973,6.710076,5742592,45443.98,58123.37,2.99704840e-04
800,6.334454,6.511064,6561792,45776.88,54383.10,2.99336192e-04
900,6.702976,6.494040,7380992,46091.55,54478.09,2.98820649e-04
1000,6.273443,6.450444,8200192,46330.54,38987.84,2.98158776e-04
1100,6.794728,6.342268,9019392,46497.92,62624.14,2.97351295e-04
1200,6.474738,6.306637,9838592,46672.15,54317.23,2.96399091e-04
1300,6.196897,6.283719,10657792,46815.09,51378.87,2.95303203e-04
1400,6.075850,6.204321,11476992,46941.67,50801.35,2.94064831e-04
1500,6.183879,6.143487,12296192,47045.94,53761.18,2.92685328e-04
1600,6.215624,6.120098,13115392,47134.68,55447.04,2.91166203e-04
1700,6.285218,6.101696,13934592,47214.73,51631.52,2.89509117e-04
1800,6.034280,6.029600,14753792,47294.16,53116.53,2.87715882e-04
1900,5.957742,6.037204,15572992,47356.50,56041.72,2.85788460e-04
2000,5.809512,6.008599,16392192,47411.61,53729.29,2.83728956e-04
2100,5.827312,5.934159,17211392,47465.25,53963.63,2.81539625e-04
2200,5.923306,5.903882,18030592,47510.15,53337.68,2.79222859e-04
2300,5.831011,5.871076,18849792,47533.97,53613.59,2.76781192e-04
2400,5.793910,5.836058,19668992,47570.86,54006.35,2.74217294e-04
2500,5.648700,5.858045,20488192,47609.62,54773.52,2.71533969e-04
2600,5.763268,5.754044,21307392,47639.50,55756.99,2.68734150e-04
2700,5.504947,5.722809,22126592,47657.07,54201.45,2.65820899e-04
2800,6.195615,5.697414,22945792,47684.41,64480.98,2.62797403e-04
2900,5.449932,5.632134,23764992,47705.04,54137.20,2.59666966e-04
3000,5.440266,5.664826,24584192,47725.59,50055.55,2.56433012e-04
3100,5.296279,5.568579,25403392,47746.63,56165.62,2.53099078e-04
3200,5.716341,5.679472,26222592,47767.51,52966.94,2.49668808e-04
3300,5.149739,5.559931,27041792,47766.82,53966.92,2.46145955e-04
3400,5.617070,5.507860,27860992,47785.16,52861.37,2.42534369e-04
3500,5.456192,5.497983,28680192,47800.96,55111.33,2.38838001e-04
3600,5.416563,5.463253,29499392,47815.61,54810.83,2.35060892e-04
3700,5.475940,5.429272,30318592,47831.34,56644.97,2.31207173e-04
3800,5.503617,5.463387,31137792,47848.42,52901.93,2.27281057e-04
3900,5.216478,5.362656,31956992,47862.50,52212.32,2.23286838e-04
4000,5.313964,5.352441,32776192,47877.18,54774.53,2.19228882e-04
4100,5.146043,5.328377,33595392,47884.36,54046.37,2.15111629e-04
4200,4.864929,5.320302,34414592,47896.99,54138.88,2.10939579e-04
4300,5.211546,5.334187,35233792,47897.55,55723.04,2.06717294e-04
4400,5.170441,5.240772,36052992,47894.39,54248.60,2.02449393e-04
4500,4.993879,5.240177,36872192,47907.03,55761.24,1.98140541e-04
4600,4.987788,5.186446,37691392,47902.87,50908.89,1.93795450e-04
4700,5.021077,5.164356,38510592,47913.84,51529.31,1.89418872e-04
4800,5.008083,5.142365,39329792,47926.87,53944.12,1.85015592e-04
4900,5.315988,5.118047,40148992,47935.80,50037.57,1.80590426e-04
5000,5.088887,5.102954,40968192,47937.19,54280.29,1.76148212e-04
5100,5.172245,5.068758,41787392,47948.80,54894.62,1.71693807e-04
5200,4.882371,5.040422,42606592,47956.98,52637.95,1.67232083e-04
5300,4.896789,5.020823,43425792,47966.95,54235.13,1.62767917e-04
5400,4.878672,4.992453,44244992,47971.21,53107.45,1.58306193e-04
5500,4.687575,4.983642,45064192,47980.78,56300.34,1.53851788e-04
5600,4.960659,4.939435,45883392,47987.29,53987.01,1.49409574e-04
5700,4.608356,4.924944,46702592,47996.07,53871.92,1.44984408e-04
5800,5.495902,4.919050,47521792,48006.31,55046.63,1.40581128e-04
5900,4.801353,4.887396,48340992,48012.08,53330.62,1.36204550e-04
6000,4.581728,4.856123,49160192,48000.82,55473.54,1.31859459e-04
6100,4.174654,4.848585,49979392,48007.22,60901.66,1.27550607e-04
6200,4.879382,4.839846,50798592,48014.80,53698.01,1.23282706e-04
6300,4.779735,4.817178,51617792,48019.64,55192.82,1.19060421e-04
6400,4.979674,4.793408,52436992,48027.00,55143.73,1.14888371e-04
6500,4.815106,4.778436,53256192,48033.10,54626.69,1.10771118e-04
6600,4.923340,4.769295,54075392,48038.27,52548.11,1.06713162e-04
6700,5.007746,4.752546,54894592,48043.11,52445.11,1.02718943e-04
6800,4.809944,4.745298,55713792,48045.30,43818.10,9.87928270e-05
6900,3.469075,4.734155,56532992,48050.36,63277.45,9.49391075e-05
7000,4.872902,4.715881,57352192,48048.71,55330.72,9.11619987e-05
7100,5.006570,4.724762,58171392,48043.70,52954.16,8.74656305e-05
7200,5.212581,4.698897,58990592,48048.75,50568.34,8.38540451e-05
7300,4.894619,4.692638,59809792,48053.09,51494.45,8.03311916e-05
7400,4.811837,4.680634,60628992,48057.31,54417.04,7.69009222e-05
7500,4.759400,4.669790,61448192,48061.37,56320.57,7.35669878e-05
7600,4.610742,4.656075,62267392,48065.55,53053.38,7.03330341e-05
7700,4.819172,4.650725,63086592,48060.90,56697.49,6.72025974e-05
7800,4.777626,4.640041,63905792,48065.17,54607.23,6.41791006e-05
7900,5.034709,4.645867,64724992,48070.11,54167.07,6.12658500e-05
8000,4.440369,4.624135,65544192,48073.39,53020.48,5.84660312e-05
8100,4.550117,4.616935,66363392,48078.20,53105.61,5.57827058e-05
8200,4.960529,4.606146,67182592,48082.60,55558.83,5.32188078e-05
8300,4.788726,4.607997,68001792,48087.79,53828.37,5.07771409e-05
8400,4.553465,4.604803,68820992,48092.01,55337.61,4.84603751e-05
8500,4.289556,4.593175,69640192,48092.35,54791.57,4.62710436e-05
8600,4.549545,4.589105,70459392,48096.21,53730.11,4.42115405e-05
8700,4.536133,4.580548,71278592,48092.24,54022.57,4.22841178e-05
8800,4.255141,4.575690,72097792,48087.32,56047.35,4.04908831e-05
8900,4.495770,4.574791,72916992,48093.58,55423.96,3.88337973e-05
9000,4.519431,4.565370,73736192,48089.24,57578.66,3.73146724e-05
9100,4.653462,4.558108,74555392,48093.70,54316.60,3.59351695e-05
9200,4.360250,4.557312,75374592,48099.22,53408.87,3.46967971e-05
9300,4.385459,4.552705,76193792,48104.40,52934.40,3.36009094e-05
9400,4.300197,4.551597,77012992,48099.94,54825.68,3.26487046e-05
9500,4.469451,4.542167,77832192,48104.31,49050.43,3.18412240e-05
9600,4.526988,4.547572,78651392,48108.84,52077.98,3.11793506e-05
9700,4.699940,4.538079,79470592,48113.30,53693.18,3.06638082e-05
9800,4.459126,4.533424,80289792,48110.91,53953.80,3.02951603e-05
9900,4.488047,4.528748,81108992,48115.62,53868.57,3.00738103e-05
10000,N/A,4.538055,81920000,48065.46,0.00,3.00000074e-05
