step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win
100,6.951931,7.797060,206848,19070.74,29343.47
200,7.320436,7.446837,411648,22132.83,28882.45
300,7.511683,7.272377,616448,23381.05,28827.18
400,6.679486,7.106568,821248,24049.84,29490.82
500,7.251871,7.020357,1026048,24466.24,26900.35
600,6.454490,6.950778,1230848,24753.17,28692.60
700,6.768319,6.901164,1435648,24962.69,30413.84
800,7.219821,6.842981,1640448,25114.12,29221.63
900,6.571800,6.813017,1845248,25224.36,34711.91
1000,7.397436,6.762246,2050048,25326.72,27964.40
1100,6.078977,6.721225,2254848,25400.63,30725.34
1200,6.878094,6.731107,2459648,25464.29,27427.29
1300,6.931631,6.687136,2664448,25511.02,28856.75
1400,6.586245,6.674712,2869248,25559.59,30107.37
1500,6.454231,6.944168,3074048,25510.51,31722.77
1600,5.894180,6.660281,3278848,25572.08,29838.65
1700,6.791296,6.599390,3483648,25597.97,25771.20
1800,7.420682,6.578890,3688448,25624.05,28143.49
1900,6.426219,6.577909,3893248,25648.67,27398.51
2000,6.357026,6.536875,4098048,25666.61,28558.09
2100,6.113980,6.532696,4302848,25685.89,29704.53
2200,6.463196,6.494214,4507648,25703.44,27158.29
2300,5.889567,6.464128,4712448,25718.70,27358.97
2400,6.626221,6.450609,4917248,25732.50,26007.47
2500,5.688781,6.426002,5122048,25748.52,30391.24
2600,5.965043,6.420862,5326848,25761.17,30396.37
2700,6.595027,6.395537,5531648,25771.44,30076.32
2800,5.265749,6.784666,5736448,25781.07,28299.85
2900,4.758669,6.802086,5941248,25789.27,28741.16
3000,6.187672,6.376822,6146048,25798.92,27253.63
3100,7.421470,6.341353,6350848,25806.50,28585.33
3200,6.288791,6.343221,6555648,25815.05,26279.67
3300,5.826587,6.322475,6760448,25807.85,28702.11
3400,6.562843,6.282466,6965248,25796.55,24197.31
3500,6.379118,6.263624,7170048,25806.91,28448.13
3600,6.673857,6.244849,7374848,25814.16,27005.84
3700,6.508715,6.227022,7579648,25795.34,30493.91
3800,6.398674,6.229687,7784448,25803.50,28896.10
3900,5.941209,6.196576,7989248,25809.58,30617.21
4000,6.051395,6.212609,8194048,25790.64,14777.30
4100,6.198928,6.168763,8398848,25802.25,31377.29
4200,5.631069,6.150881,8603648,25808.08,26323.54
4300,6.111237,6.127887,8808448,25813.91,28110.10
4400,6.282804,6.126897,9013248,25818.22,31634.84
4500,5.666104,6.137426,9218048,25824.90,28320.90
4600,6.197083,6.103629,9422848,25830.66,30545.02
4700,5.635385,6.140791,9627648,25835.12,27404.34
4800,6.508751,6.069048,9832448,25839.84,30688.90
4900,6.432353,6.068644,10037248,25842.85,29336.40
5000,6.455320,6.049237,10242048,25848.85,31185.69
5100,6.028577,6.052791,10446848,25852.49,27815.92
5200,5.735969,6.013168,10651648,25855.65,27763.90
5300,5.369614,5.992925,10856448,25858.74,26890.39
5400,5.810096,6.013374,11061248,25863.82,27321.31
5500,6.515662,5.989466,11266048,25867.61,30253.79
5600,6.211936,5.990399,11470848,25870.60,27873.57
5700,5.661347,5.987588,11675648,25874.13,30034.32
5800,6.255321,5.951273,11880448,25876.77,28375.96
5900,5.953468,5.959015,12085248,25878.10,23608.41
6000,6.240237,5.917732,12290048,25880.92,27369.31
6100,6.390937,5.918316,12494848,25880.61,30274.48
6200,5.967557,5.981674,12699648,25884.12,28983.91
6300,5.184538,5.903625,12904448,25887.12,28516.59
6400,5.951554,5.899937,13109248,25889.89,31159.64
6500,6.091823,5.938455,13314048,25892.55,28366.54
6600,6.045824,5.885702,13518848,25894.02,29850.97
6700,5.453017,5.891382,13723648,25896.98,31387.85
6800,6.312330,5.873935,13928448,25898.85,28615.48
6900,5.128655,5.909715,14133248,25901.27,27725.19
7000,5.192351,5.841207,14338048,25903.60,34409.53
7100,5.847002,5.881448,14542848,25905.16,28414.33
7200,5.790942,5.832008,14747648,25906.55,28785.52
7300,5.600651,5.830557,14952448,25907.89,29131.48
7400,5.264012,5.821064,15157248,25909.42,35177.72
7500,5.846715,5.823665,15362048,25910.70,30094.74
7600,6.151533,5.823373,15566848,25912.34,27501.26
7700,5.728249,5.805238,15771648,25913.81,31109.66
7800,5.883430,5.815916,15976448,25915.54,35142.17
7900,6.603929,5.779240,16181248,25916.28,27691.92
8000,5.674195,5.809174,16386048,25907.55,34452.50
8100,6.120327,5.797395,16590848,25908.85,26926.94
8200,5.565147,5.831407,16795648,25910.41,31151.19
8300,5.706421,5.790414,17000448,25902.87,28214.86
8400,5.909096,5.759676,17205248,25905.22,31233.66
8500,5.234683,5.732918,17410048,25906.73,30174.71
8600,5.807486,5.738213,17614848,25897.57,27587.26
8700,5.822036,5.739956,17819648,25898.61,31066.02
8800,5.865822,5.744082,18024448,25900.37,30027.26
8900,5.825366,5.723698,18229248,25901.09,28477.03
9000,5.910070,5.738445,18434048,25903.00,29966.03
9100,5.937310,5.724996,18638848,25904.28,30648.47
9200,5.493008,5.727063,18843648,25905.55,28225.67
9300,5.667253,5.705568,19048448,25906.39,30230.17
9400,6.737369,5.727163,19253248,25907.82,28373.59
9500,5.304621,5.703977,19458048,25908.74,30865.67
9600,5.561740,5.702128,19662848,25909.80,27755.62
9700,5.730497,5.759285,19867648,25911.03,25697.87
9800,5.293479,5.695649,20072448,25912.99,31387.42
9900,5.862678,5.674794,20277248,25914.09,28987.94
10000,N/A,5.711403,20480000,25885.83,0.00
