step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win,lr
100,8.070036,7.986121,827392,24398.98,56171.00,6.06000000e-05
200,7.408968,7.216826,1646592,29353.70,57057.05,1.20600000e-04
300,6.935328,6.957797,2465792,33853.15,55568.56,1.80600000e-04
400,6.893714,6.877568,3284992,36760.07,54908.74,2.40600000e-04
500,6.591559,6.695063,4104192,38675.78,53713.36,3.00000000e-04
600,6.511704,6.607584,4923392,40121.29,55881.15,2.99926190e-04
700,6.025185,6.689408,5742592,41213.34,57439.59,2.99704840e-04
800,6.334863,6.519918,6561792,42064.99,53001.30,2.99336192e-04
900,6.689334,6.476907,7380992,42768.14,54245.73,2.98820649e-04
1000,6.278760,6.444758,8200192,43321.73,40411.14,2.98158776e-04
1100,6.814318,6.345729,9019392,43801.08,63499.60,2.97351295e-04
1200,6.468531,6.313295,9838592,44200.28,55308.87,2.96399091e-04
1300,6.191766,6.291450,10657792,44539.50,54078.84,2.95303203e-04
1400,6.078455,6.217600,11476992,44839.76,53083.48,2.94064831e-04
1500,6.189518,6.150821,12296192,45098.98,53144.04,2.92685328e-04
1600,6.240808,6.133481,13115392,45333.28,56471.33,2.91166203e-04
1700,6.312697,6.115893,13934592,45535.08,49605.70,2.89509117e-04
1800,6.074685,6.062463,14753792,45724.88,54403.87,2.87715882e-04
1900,5.975555,6.056300,15572992,45891.25,55953.70,2.85788460e-04
2000,5.826591,6.029213,16392192,46037.02,53580.88,2.83728956e-04
2100,5.855653,5.956771,17211392,46172.24,53368.80,2.81539625e-04
2200,5.940657,5.932126,18030592,46301.32,56488.40,2.79222859e-04
2300,5.854061,5.911826,18849792,46417.49,53812.36,2.76781192e-04
2400,5.833831,5.857195,19668992,46526.76,55087.47,2.74217294e-04
2500,5.655649,5.867167,20488192,46621.90,57511.44,2.71533969e-04
2600,5.787569,5.795726,21307392,46706.71,52632.98,2.68734150e-04
2700,5.529103,5.750550,22126592,46790.77,55672.58,2.65820899e-04
2800,6.206476,5.716563,22945792,46871.41,61951.42,2.62797403e-04
2900,5.478220,5.656639,23764992,46941.75,54402.03,2.59666966e-04
3000,5.451584,5.701791,24584192,47000.84,51632.41,2.56433012e-04
3100,5.304701,5.589680,25403392,47064.02,56865.85,2.53099078e-04
3200,5.712555,5.685665,26222592,47123.87,53859.18,2.49668808e-04
3300,5.169693,5.568889,27041792,47182.74,54544.79,2.46145955e-04
3400,5.645828,5.521929,27860992,47239.78,56074.15,2.42534369e-04
3500,5.471935,5.523042,28680192,47280.92,54484.28,2.38838001e-04
3600,5.402862,5.473733,29499392,47327.75,55760.94,2.35060892e-04
3700,5.492268,5.438971,30318592,47374.36,54639.36,2.31207173e-04
3800,5.514667,5.473260,31137792,47423.13,53797.20,2.27281057e-04
3900,5.240576,5.382027,31956992,47465.47,54512.64,2.23286838e-04
4000,5.314963,5.372837,32776192,47493.33,55540.32,2.19228882e-04
4100,5.143585,5.343392,33595392,47534.57,53845.07,2.15111629e-04
4200,4.872926,5.323660,34414592,47570.94,55638.48,2.10939579e-04
4300,5.205737,5.340298,35233792,47609.11,54459.21,2.06717294e-04
4400,5.213266,5.253892,36052992,47643.86,54249.74,2.02449393e-04
4500,4.994685,5.254975,36872192,47675.28,56566.58,1.98140541e-04
4600,5.016998,5.206605,37691392,47695.63,52166.09,1.93795450e-04
4700,5.025111,5.181937,38510592,47726.34,53343.44,1.89418872e-04
4800,5.002913,5.164943,39329792,47754.59,54373.14,1.85015592e-04
4900,5.355917,5.145690,40148992,47780.68,52438.31,1.80590426e-04
5000,5.096818,5.127645,40968192,47808.77,54716.82,1.76148212e-04
5100,5.208793,5.104083,41787392,47824.29,55705.13,1.71693807e-04
5200,4.896675,5.082290,42606592,47849.51,52905.27,1.67232083e-04
5300,4.935669,5.069990,43425792,47875.75,54995.31,1.62767917e-04
5400,4.918044,5.045170,44244992,47901.78,53039.06,1.58306193e-04
5500,4.727381,5.040870,45064192,47925.63,53841.11,1.53851788e-04
5600,5.019243,5.010473,45883392,47946.81,55167.18,1.49409574e-04
5700,4.646938,4.989357,46702592,47955.92,53366.01,1.44984408e-04
5800,5.516104,4.984384,47521792,47979.05,55900.76,1.40581128e-04
5900,4.845620,4.955798,48340992,47998.92,57791.34,1.36204550e-04
6000,4.728796,4.927246,49160192,48014.69,54648.70,1.31859459e-04
6100,4.204231,4.917715,49979392,48033.60,61395.47,1.27550607e-04
6200,4.915254,4.898036,50798592,48039.01,55613.13,1.23282706e-04
6300,4.818537,4.879247,51617792,48056.11,55486.10,1.19060421e-04
6400,5.059064,4.861372,52436992,48073.27,57086.43,1.14888371e-04
6500,4.848954,4.843734,53256192,48090.79,54933.66,1.10771118e-04
6600,4.979663,4.831665,54075392,48106.79,55697.87,1.06713162e-04
6700,5.056751,4.809017,54894592,48110.44,51693.59,1.02718943e-04
6800,4.904552,4.799914,55713792,48123.19,43020.61,9.87928270e-05
6900,3.483561,4.785970,56532992,48136.31,63618.87,9.49391075e-05
7000,4.928209,4.765635,57352192,48153.08,55279.52,9.11619987e-05
7100,5.045266,4.775259,58171392,48159.06,52462.75,8.74656305e-05
7200,5.271519,4.743556,58990592,48171.77,50929.02,8.38540451e-05
7300,4.949413,4.738415,59809792,48185.76,53759.58,8.03311916e-05
7400,4.844396,4.720249,60628992,48198.18,55360.33,7.69009222e-05
7500,4.791753,4.714924,61448192,48210.58,54453.61,7.35669878e-05
7600,4.651315,4.697911,62267392,48210.17,55776.20,7.03330341e-05
7700,4.901676,4.692513,63086592,48221.06,57011.97,6.72025974e-05
7800,4.798410,4.682195,63905792,48232.38,54820.30,6.41791006e-05
7900,5.066439,4.684852,64724992,48243.91,53798.57,6.12658500e-05
8000,4.458841,4.660820,65544192,48253.22,52890.90,5.84660312e-05
8100,4.561186,4.653454,66363392,48265.52,55870.93,5.57827058e-05
8200,4.982348,4.641888,67182592,48271.55,56418.37,5.32188078e-05
8300,4.849431,4.640590,68001792,48284.04,56469.40,5.07771409e-05
8400,4.569821,4.639661,68820992,48295.97,54085.12,4.84603751e-05
8500,4.314858,4.623237,69640192,48306.83,56880.87,4.62710436e-05
8600,4.579800,4.619732,70459392,48318.07,54180.81,4.42115405e-05
8700,4.570450,4.610893,71278592,48326.96,53692.54,4.22841178e-05
8800,4.267676,4.605702,72097792,48328.49,54822.35,4.04908831e-05
8900,4.531912,4.606746,72916992,48340.41,54207.28,3.88337973e-05
9000,4.544671,4.595734,73736192,48351.77,56868.31,3.73146724e-05
9100,4.674270,4.587113,74555392,48361.49,54519.33,3.59351695e-05
9200,4.374031,4.585559,75374592,48356.77,54375.03,3.46967971e-05
9300,4.401474,4.580003,76193792,48364.44,55620.74,3.36009094e-05
9400,4.349606,4.578367,77012992,48372.42,55758.36,3.26487046e-05
9500,4.483068,4.569206,77832192,48381.67,48961.79,3.18412240e-05
9600,4.550059,4.572927,78651392,48390.63,53874.76,3.11793506e-05
9700,4.709566,4.564531,79470592,48397.32,53213.30,3.06638082e-05
9800,4.486135,4.560620,80289792,48396.99,55795.62,3.02951603e-05
9900,4.514321,4.555744,81108992,48405.10,56570.01,3.00738103e-05
10000,N/A,4.564124,81920000,48360.53,0.00,3.00000074e-05
