step,train_loss,val_loss,tokens_seen,toks_per_s_avg,toks_per_s_win
100,6.956390,7.800439,206848,6469.73,38933.23
200,7.323077,7.448046,411648,8818.46,37936.18
300,7.517437,7.274626,616448,11695.65,34036.54
400,6.684195,7.107356,821248,13983.41,38498.04
500,7.254373,7.023847,1026048,15838.19,34146.43
600,6.453650,6.951792,1230848,17382.02,37683.23
700,6.768578,6.905966,1435648,18679.91,36404.94
800,7.218071,6.847334,1640448,19785.51,41325.84
900,6.587860,6.815673,1845248,20737.12,39968.60
1000,7.408794,6.767307,2050048,21575.79,35035.70
1100,6.087227,6.721566,2254848,22308.68,38950.47
1200,6.872907,6.736970,2459648,22955.38,37565.88
1300,6.934575,6.687467,2664448,23525.48,46763.85
1400,6.595826,6.676816,2869248,24043.89,38210.49
1500,6.452524,6.936429,3074048,24476.58,40771.94
1600,5.884330,6.657023,3278848,24919.51,38851.25
1700,6.784177,6.592379,3483648,25300.21,37431.29
1800,7.436528,6.570278,3688448,25648.70,37624.49
1900,6.403194,6.573812,3893248,25970.78,35706.40
2000,6.370130,6.528971,4098048,26264.54,37582.41
2100,6.109550,6.522192,4302848,26536.48,34203.17
2200,6.467508,6.483984,4507648,26791.48,37575.92
2300,5.883325,6.458663,4712448,27027.89,38034.34
2400,6.616083,6.440496,4917248,27247.01,36128.40
2500,5.695197,6.417451,5122048,27410.31,38782.61
2600,5.939156,6.411083,5326848,27605.66,39264.28
2700,6.613028,6.393274,5531648,27786.66,39541.90
2800,5.244792,6.807205,5736448,27959.10,40501.97
2900,4.744240,6.802399,5941248,28117.55,41805.41
3000,6.218912,6.370480,6146048,28271.21,36527.96
3100,7.422272,6.339193,6350848,28414.14,36828.68
3200,6.284587,6.334705,6555648,28549.91,36875.72
3300,5.794324,6.314848,6760448,28677.57,39443.42
3400,6.557791,6.279825,6965248,28797.33,30034.88
3500,6.387803,6.259951,7170048,28914.86,38067.95
3600,6.675366,6.245590,7374848,29024.67,35514.71
3700,6.542958,6.222756,7579648,29127.33,43850.52
3800,6.424464,6.225514,7784448,29226.70,36422.24
3900,5.914387,6.189289,7989248,29319.67,37226.59
4000,6.034201,6.214023,8194048,29402.81,16285.34
4100,6.186486,6.167842,8398848,29496.40,37376.34
4200,5.624920,6.146368,8603648,29579.26,34936.78
4300,6.124086,6.125725,8808448,29659.52,36034.61
4400,6.310074,6.120734,9013248,29735.20,40930.21
4500,5.652249,6.143811,9218048,29810.16,35075.27
4600,6.176268,6.099733,9422848,29883.52,37564.84
4700,5.642217,6.136515,9627648,29951.33,34160.11
4800,6.504883,6.065367,9832448,30018.08,40836.82
4900,6.437201,6.069666,10037248,30081.50,39109.73
5000,6.494155,6.046862,10242048,30144.24,37020.37
5100,6.007781,6.054840,10446848,30204.53,41116.93
5200,5.751658,6.017286,10651648,30261.01,32729.17
5300,5.359373,5.997068,10856448,30316.06,36012.37
5400,5.832985,6.020085,11061248,30361.27,32546.98
5500,6.502513,5.998315,11266048,30413.21,39194.89
5600,6.194068,6.001012,11470848,30461.96,33482.99
5700,5.682268,6.003037,11675648,30510.11,36938.87
5800,6.266886,5.958517,11880448,30556.43,43699.78
5900,5.962182,5.964110,12085248,30599.05,28551.44
6000,6.249979,5.924038,12290048,30641.69,33109.48
6100,6.414003,5.930917,12494848,30683.42,40827.03
6200,5.969405,6.004143,12699648,30725.14,42886.28
6300,5.201824,5.901716,12904448,30765.77,35715.64
6400,5.976028,5.912003,13109248,30804.88,36913.73
6500,6.077236,5.942216,13314048,30842.62,40152.08
6600,6.058254,5.886207,13518848,30878.58,37017.17
6700,5.457129,5.896881,13723648,30914.92,36654.97
6800,6.362228,5.878148,13928448,30949.27,35628.86
6900,5.141768,5.909118,14133248,30983.43,37176.62
7000,5.202167,5.852983,14338048,31016.82,40596.51
7100,5.849989,5.886812,14542848,31047.97,36148.58
7200,5.816667,5.837158,14747648,31078.62,40587.82
7300,5.616571,5.840796,14952448,31106.56,33840.72
7400,5.316199,5.834647,15157248,31134.56,45923.31
7500,5.856410,5.834370,15362048,31160.77,36325.78
7600,6.162497,5.839195,15566848,31186.60,33608.68
7700,5.746913,5.810875,15771648,31212.41,38171.34
7800,5.917417,5.822983,15976448,31237.88,42489.61
7900,6.600834,5.785552,16181248,31262.29,36769.71
8000,5.684594,5.820059,16386048,31288.04,42168.30
8100,6.149765,5.807220,16590848,31312.08,33866.30
8200,5.552801,5.859541,16795648,31320.99,36634.04
8300,5.723176,5.796405,17000448,31345.10,34293.94
8400,5.908640,5.760801,17205248,31368.58,35657.61
8500,5.255008,5.740892,17410048,31390.30,39179.82
8600,5.818712,5.741085,17614848,31412.26,36247.03
8700,5.814347,5.748553,17819648,31433.32,38548.44
8800,5.908616,5.752187,18024448,31454.71,35649.51
8900,5.812822,5.734277,18229248,31474.08,37846.06
9000,5.898835,5.753811,18434048,31495.50,35015.76
9100,5.920321,5.734540,18638848,31514.85,37610.87
9200,5.493666,5.730516,18843648,31533.92,36437.41
9300,5.666218,5.723922,19048448,31552.24,39031.17
9400,6.819986,5.738344,19253248,31571.62,40537.44
9500,5.295516,5.723252,19458048,31589.30,36917.72
9600,5.548839,5.729501,19662848,31594.58,32251.30
9700,5.745006,5.770530,19867648,31612.41,36560.19
9800,5.313342,5.704590,20072448,31630.37,38655.85
9900,5.885721,5.682393,20277248,31647.72,36794.67
10000,N/A,5.715319,20480000,31633.15,0.00
